DEVICE ;FECHA ;NOMBRE DEL CLIENTE ;NOMBRE DEL PUNTO ;TIPO DE SERVICIO
009150307770;1/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS GASXI SOLEDAD FR;MTTO CORRECTIVO
009770090070;1/10/2025;JERONIMO MARTINS COLOMBIA SAS;900 SOLEDAD CIUDAD DEL PUERTO;MTTO CORRECTIVO
009770042770;1/10/2025;JERONIMO MARTINS COLOMBIA SAS;BARRANQUILLA METROCENTRO TIA;MTTO CORRECTIVO
098250353370;1/10/2025;MASSER S A S;1000 METROPARQUE;MTTO CORRECTIVO
005742000170;1/10/2025;EDS BARAKAH  SAS - PYME;EDS POZO RUBIO;MTTO CORRECTIVO
005484033270;1/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q01 ATL PTO COLOMBIA VILLA CAMPESTRE;MTTO CORRECTIVO
000018200070;1/10/2025;D1 S.A.S;10575-TIENDA D1 LA ESTANCIA;MTTO PREVENTIVO
001763000470;1/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO VENECIA;MTTO CORRECTIVO
001763000471;1/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO VENECIA - 2;MTTO CORRECTIVO
000018302370;1/10/2025;D1 S.A.S;11689 - BOG BOSQUES DE MARIA;MTTO PREVENTIVO
005528000270;1/10/2025;LA NACIONAL DE LICORES DE COLOMBIA SAS;FV SEDE CALLE 80;MTTO PROFUNDO
000018217370;1/10/2025;D1 S.A.S;10512-TIENDA D1 PALOQUEMAO;MTTO PREVENTIVO
009770142470;1/10/2025;JERONIMO MARTINS COLOMBIA SAS;1424 SAMPER MENDOZA;MTTO PREVENTIVO
005528000370;1/10/2025;LA NACIONAL DE LICORES DE COLOMBIA SAS;FV LA NACIONAL DE LICORES CRA 18;MTTO PROFUNDO
005484094170;1/10/2025;PLAN B INVESTMENTS S.A.S.;FV SB3 ISIMO LA ESTACION;MTTO PROFUNDO
005528000170;1/10/2025;LA NACIONAL DE LICORES DE COLOMBIA SAS;FV SEDE BOSA;MTTO PROFUNDO
000018171970;1/10/2025;D1 S.A.S;11703 TIENDA D1 ALCAPARROS;MTTO PREVENTIVO
